import time: self [us] | cumulative | imported package
import time:       172 |        172 |                     compression
import time:       187 |        358 |                   compression._common
import time:       271 |        271 |                   compression._common._streams
import time:       506 |        506 |                   _bz2
import time:       263 |       1396 |                 bz2
import time:       735 |        735 |                   _lzma
import time:       284 |       1019 |                 lzma
import time:       768 |        768 |                   _zstd
import time:       260 |        260 |                   compression.zstd._zstdfile
import time:       507 |       1535 |                 compression.zstd
import time:       551 |       5070 |               shutil
import time:       234 |        234 |                 zipfile._path.glob
import time:       338 |        572 |               zipfile._path
import time:       622 |       6555 |             zipfile
import time:       269 |        269 |             importlib.metadata._meta
import time:       151 |        151 |             importlib.metadata._collections
import time:        82 |         82 |             importlib.metadata._functools
import time:        76 |         76 |             importlib.metadata._itertools
import time:       336 |        336 |             importlib.abc
import time:       716 |      10034 |           importlib.metadata
import time:       227 |        227 |             packaging
import time:      1383 |       1609 |           packaging.version
import time:       344 |        344 |                 email.errors
import time:       549 |        549 |                   http
import time:       292 |        292 |                           email.quoprimime
import time:       191 |        191 |                           email.base64mime
import time:       218 |        218 |                               quopri
import time:       116 |        333 |                             email.encoders
import time:       258 |        590 |                           email.charset
import time:       464 |       1535 |                         email.header
import time:       189 |        189 |                             urllib
import time:       882 |       1070 |                           urllib.parse
import time:       216 |        216 |                           email._parseaddr
import time:       324 |       1609 |                         email.utils
import time:       368 |       3512 |                       email._policybase
import time:       417 |       3929 |                     email.feedparser
import time:       117 |       4045 |                   email.parser
import time:       275 |        275 |                     email._encoded_words
import time:       162 |        162 |                     email.iterators
import time:       251 |        687 |                   email.message
import time:       674 |       5953 |                 http.client
import time:       688 |       6985 |               urllib3.exceptions
import time:       276 |        276 |                       urllib3.util.timeout
import time:       206 |        481 |                     urllib3.util.connection
import time:       193 |        193 |                       urllib3.util.util
import time:        30 |         30 |                       brotlicffi
import time:        25 |         25 |                       brotli
import time:       321 |        568 |                     urllib3.util.request
import time:       192 |        192 |                     urllib3.util.response
import time:       691 |        691 |                           _bisect
import time:       171 |        862 |                         bisect
import time:       785 |        785 |                         _random
import time:       380 |       2026 |                       random
import time:       357 |       2383 |                     urllib3.util.retry
import time:      1583 |       1583 |                         _hashlib
import time:       668 |        668 |                         _blake2
import time:       260 |       2510 |                       hashlib
import time:       846 |        846 |                         _hmac
import time:       283 |       1128 |                       hmac
import time:      7483 |       7483 |                       urllib3.util.url
import time:       336 |        336 |                       urllib3.util.ssltransport
import time:       358 |      11814 |                     urllib3.util.ssl_
import time:       114 |        114 |                     urllib3.util.wait
import time:       184 |      15733 |                   urllib3.util
import time:        11 |      15744 |                 urllib3.util.connection
import time:       468 |      16211 |               urllib3._base_connection
import time:       487 |        487 |               urllib3._collections
import time:       213 |        213 |               urllib3._version
import time:        32 |         32 |                         _winapi
import time:        26 |         26 |                         winreg
import time:       303 |        360 |                       mimetypes
import time:       272 |        631 |                     urllib3.fields
import time:       189 |        820 |                   urllib3.filepost
import time:        26 |         26 |                     brotlicffi
import time:        23 |         23 |                     brotli
import time:       167 |        167 |                       urllib3.http2
import time:       129 |        129 |                       urllib3.http2.probe
import time:        92 |         92 |                       urllib3.util.ssl_match_hostname
import time:       434 |        820 |                     urllib3.connection
import time:       503 |       1370 |                   urllib3.response
import time:       221 |       2410 |                 urllib3._request_methods
import time:       211 |        211 |                 urllib3.util.proxy
import time:       376 |       2996 |               urllib3.connectionpool
import time:      1088 |       1088 |               urllib3.poolmanager
import time:       351 |      28328 |             urllib3
import time:       757 |        757 |                     81d243bd2c585b0f4821__mypyc
import time:       977 |        977 |                     charset_normalizer.constant
import time:       736 |        736 |                       unicodedata
import time:       749 |        749 |                       _multibytecodec
import time:       520 |       2003 |                     charset_normalizer.utils
import time:       349 |        349 |                     charset_normalizer.models
import time:       922 |       5007 |                   charset_normalizer.cd
import time:       754 |        754 |                   _codecs_tw
import time:       787 |        787 |                   _codecs_hk
import time:       733 |        733 |                   _codecs_jp
import time:       711 |        711 |                   _codecs_kr
import time:       785 |        785 |                   _codecs_cn
import time:       759 |        759 |                   _codecs_iso2022
import time:     15501 |      25035 |                 charset_normalizer.api
import time:       219 |        219 |                 charset_normalizer.legacy
import time:       222 |        222 |                 charset_normalizer.version
import time:        30 |         30 |                 simplejson
import time:       862 |        862 |                     tempfile
import time:       230 |        230 |                       urllib.response
import time:       237 |        466 |                     urllib.error
import time:      1022 |       1022 |                     _scproxy
import time:       773 |       3122 |                   urllib.request
import time:       646 |        646 |                   calendar
import time:      1728 |       5495 |                 http.cookiejar
import time:       773 |        773 |                 http.cookies
import time:       378 |      32151 |               requests.compat
import time:       491 |      32641 |             requests.exceptions
import time:        36 |         36 |             chardet
import time:       318 |        318 |                   idna.idnadata
import time:       169 |        169 |                   idna.intranges
import time:       495 |        980 |                 idna.core
import time:       211 |        211 |                 idna.package_data
import time:       229 |       1419 |               idna
import time:       387 |       1806 |             requests.packages
import time:       336 |        336 |                         importlib.resources.abc
import time:       403 |        739 |                       importlib.resources._common
import time:       174 |        174 |                       importlib.resources._functional
import time:       186 |       1098 |                     importlib.resources
import time:       249 |       1347 |                   certifi.core
import time:       147 |       1493 |                 certifi
